,0
0,131377523457.07199
1,14330460495.39055
2,8369269616.756703
3,2699090060.7224226
4,3788914085.2343345
5,662480150.2614169
6,1038340931.7460395
7,2126194408.1383953
8,910647299.4557885
9,521114090.2916757
10,1734880322.0832722
11,2507990776.286602
12,286414057.44362706
13,877037589.238128
14,921331823.804176
15,765772131.5362089
16,629323657.9162905
17,43764081.71462767
18,89431703.9357997
19,343853347.43744487
20,390070119.530799
21,669001677.3774782
22,109794268.60826316
23,443955962.5469461
24,103540226.266506
25,236196268.69506958
26,536130393.70311826
27,251196400.1935655
28,41895480.64820266
29,326652783.48592955
30,177795669.82750064
31,334692643.92862254
32,86623324.46586221
33,224822081.2819425
34,54295271.488474086
35,267311936.0519496
36,66396742.63374949
37,114129070.37079042
38,153449849.5600287
39,156451800.47583365
40,26773176.48914499
41,0.0
42,59031035.903694734
43,21657285.38889907
44,78337347.18499617
45,31297773.38623271
46,14218158.685867308
47,96469757.63703261
48,33086651.407398377
49,56372348.34820258
50,35703602.53811119
51,90055579.42862357
52,72306730.03591649
